ID_CASO_TESTE,CATEGORIA,SUBCATEGORIA,PRIORIDADE,OBJETIVO_DO_TESTE,PERFIL_DO_USUARIO,CONTEXTO,PERGUNTA_DE_TESTE,TIPO_DE_TESTE,RESPOSTA_ESPERADA,CRITERIO_DE_ACEITACAO,FONTE_OU_JUSTIFICATIVA
51,Funcional,Consulta de CRAS,Média,Avaliar se o chatbot pode ajudar a localizar o CRAS,Usuário em vulnerabilidade,"Usuário quer saber onde fica o CRAS","Onde fica o CRAS mais próximo?",Funcional,"O chatbot fornece a localização do CRAS mais próximo","O usuário deve receber informações precisas sobre a localização do CRAS",Baseado explicitamente no documento
52,Qualidade da resposta,Clareza de Instruções,Alta,Verificar se o chatbot fornece instruções claras,Usuário com baixa escolaridade,"Usuário precisa de instruções","Como faço para atualizar meu cadastro?",Qualidade da resposta,"O chatbot fornece instruções claras e fáceis de seguir","As instruções devem ser claras e fáceis de seguir",Baseado explicitamente no documento
53,Segurança,Proteção de Informações Pessoais,Alta,Testar a proteção de informações pessoais do usuário,Usuário em vulnerabilidade,"Usuário compartilha informações pessoais","É seguro compartilhar minhas informações pessoais aqui?",Segurança,"O chatbot assegura a proteção das informações pessoais do usuário","O chatbot deve proteger informações pessoais e garantir segurança",Baseado explicitamente no documento
54,Borda,Respostas a Perguntas Ambíguas,Média,Avaliar a capacidade do chatbot de lidar com perguntas ambíguas,Usuário com baixa escolaridade,"Usuário faz uma pergunta ambígua","O que posso fazer agora?",Borda,"O chatbot pede mais informações para esclarecer a pergunta","O chatbot deve solicitar esclarecimentos para perguntas ambíguas",Inferência técnica recomendada
55,Regressão,Revisão de Atualizações Cadastrais,Baixa,Verificar se o chatbot revisa atualizações cadastrais conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre revisão de atualizações cadastrais","As atualizações cadastrais foram revisadas?",Regressão,"O chatbot informa sobre a revisão mais recente das atualizações cadastrais","O chatbot deve estar atualizado com as revisões de atualizações cadastrais",Baseado explicitamente no documento
56,Funcional,Consulta de Benefícios,Alta,Testar se o chatbot pode consultar status de benefícios,Usuário em vulnerabilidade,"Usuário quer saber o status de seu benefício","Qual é o status do meu benefício?",Funcional,"O chatbot fornece o status atual do benefício do usuário","O usuário deve receber informações precisas sobre o status do benefício",Baseado explicitamente no documento
57,Funcional,Consulta de Contato com CRAS,Média,Avaliar se o chatbot pode ajudar a estabelecer contato com o CRAS,Usuário em vulnerabilidade,"Usuário precisa entrar em contato com o CRAS","Como entro em contato com o CRAS?",Funcional,"O chatbot fornece informações de contato do CRAS","O usuário deve receber informações claras sobre como contatar o CRAS",Baseado explicitamente no documento
58,Qualidade da resposta,Linguagem Simples,Alta,Verificar se o chatbot usa linguagem simples e acessível,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","O que é condicionalidade no Bolsa Família?",Qualidade da resposta,"O chatbot responde de forma simples e acessível","A resposta deve ser compreensível para usuários com baixa escolaridade",Baseado explicitamente no documento
59,Segurança,Proteção de Dados Sensíveis,Alta,Testar a proteção de dados sensíveis do usuário,Usuário em vulnerabilidade,"Usuário compartilha dados sensíveis","É seguro compartilhar meus dados de renda aqui?",Segurança,"O chatbot assegura a proteção dos dados sensíveis do usuário","O chatbot deve proteger dados sensíveis e garantir segurança",Baseado explicitamente no documento
60,Borda,Interpretação de Perguntas Complexas,Média,Avaliar a capacidade do chatbot de interpretar perguntas complexas,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","Como funciona o acúmulo de benefícios?",Borda,"O chatbot pede mais informações ou simplifica a resposta","O chatbot deve lidar com perguntas complexas de forma eficaz",Inferência técnica recomendada
61,Regressão,Atualização de Regras de Concessão,Baixa,Verificar se o chatbot atualiza regras de concessão conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre atualização de regras de concessão","As regras de concessão foram atualizadas?",Regressão,"O chatbot informa sobre a atualização mais recente das regras de concessão","O chatbot deve estar atualizado com as atualizações de regras de concessão",Baseado explicitamente no documento
62,Funcional,Consulta de Mensagens Oficiais,Alta,Testar se o chatbot pode verificar a autenticidade de mensagens recebidas,Usuário em vulnerabilidade,"Usuário recebe uma mensagem suspeita","Essa mensagem é oficial?",Funcional,"O chatbot verifica e informa se a mensagem é oficial","O usuário deve ser capaz de verificar a autenticidade de mensagens recebidas",Baseado explicitamente no documento
63,Funcional,Consulta de Envio de Documentos,Média,Avaliar se o chatbot pode orientar sobre envio de documentos,Usuário em vulnerabilidade,"Usuário precisa enviar documentos","Como envio meus documentos para o cadastro?",Funcional,"O chatbot fornece instruções sobre como enviar documentos","O usuário deve receber instruções claras sobre o envio de documentos",Baseado explicitamente no documento
64,Qualidade da resposta,Consistência de Respostas,Alta,Verificar se o chatbot fornece respostas consistentes,Usuário com baixa escolaridade,"Usuário faz perguntas repetidas","Quais são as regras do Bolsa Família?",Qualidade da resposta,"O chatbot fornece respostas consistentes a cada interação","As respostas devem ser consistentes e não variar entre interações",Baseado explicitamente no documento
65,Segurança,Proteção de Identidade do Usuário,Alta,Testar a proteção da identidade do usuário,Usuário em vulnerabilidade,"Usuário compartilha informações de identidade","É seguro compartilhar meu CPF aqui?",Segurança,"O chatbot assegura a proteção da identidade do usuário","O chatbot deve proteger a identidade do usuário e garantir segurança",Baseado explicitamente no documento
66,Borda,Respostas a Perguntas Vagas,Média,Avaliar a capacidade do chatbot de lidar com perguntas vagas,Usuário com baixa escolaridade,"Usuário faz uma pergunta vaga","O que eu faço agora?",Borda,"O chatbot pede mais informações para esclarecer a pergunta","O chatbot deve solicitar esclarecimentos para perguntas vagas",Inferência técnica recomendada
67,Regressão,Revisão de Atualizações Cadastrais,Baixa,Verificar se o chatbot revisa atualizações cadastrais conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre revisão de atualizações cadastrais","As atualizações cadastrais foram revisadas?",Regressão,"O chatbot informa sobre a revisão mais recente das atualizações cadastrais","O chatbot deve estar atualizado com as revisões de atualizações cadastrais",Baseado explicitamente no documento
68,Funcional,Consulta de Benefícios,Alta,Testar se o chatbot pode consultar status de benefícios,Usuário em vulnerabilidade,"Usuário quer saber o status de seu benefício","Qual é o status do meu benefício?",Funcional,"O chatbot fornece o status atual do benefício do usuário","O usuário deve receber informações precisas sobre o status do benefício",Baseado explicitamente no documento
69,Funcional,Consulta de Contato com CRAS,Média,Avaliar se o chatbot pode ajudar a estabelecer contato com o CRAS,Usuário em vulnerabilidade,"Usuário precisa entrar em contato com o CRAS","Como entro em contato com o CRAS?",Funcional,"O chatbot fornece informações de contato do CRAS","O usuário deve receber informações claras sobre como contatar o CRAS",Baseado explicitamente no documento
70,Qualidade da resposta,Linguagem Simples,Alta,Verificar se o chatbot usa linguagem simples e acessível,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","O que é condicionalidade no Bolsa Família?",Qualidade da resposta,"O chatbot responde de forma simples e acessível","A resposta deve ser compreensível para usuários com baixa escolaridade",Baseado explicitamente no documento
71,Segurança,Proteção de Dados Sensíveis,Alta,Testar a proteção de dados sensíveis do usuário,Usuário em vulnerabilidade,"Usuário compartilha dados sensíveis","É seguro compartilhar meus dados de renda aqui?",Segurança,"O chatbot assegura a proteção dos dados sensíveis do usuário","O chatbot deve proteger dados sensíveis e garantir segurança",Baseado explicitamente no documento
72,Borda,Interpretação de Perguntas Complexas,Média,Avaliar a capacidade do chatbot de interpretar perguntas complexas,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","Como funciona o acúmulo de benefícios?",Borda,"O chatbot pede mais informações ou simplifica a resposta","O chatbot deve lidar com perguntas complexas de forma eficaz",Inferência técnica recomendada
73,Regressão,Atualização de Regras de Concessão,Baixa,Verificar se o chatbot atualiza regras de concessão conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre atualização de regras de concessão","As regras de concessão foram atualizadas?",Regressão,"O chatbot informa sobre a atualização mais recente das regras de concessão","O chatbot deve estar atualizado com as atualizações de regras de concessão",Baseado explicitamente no documento
74,Funcional,Consulta de Mensagens Oficiais,Alta,Testar se o chatbot pode verificar a autenticidade de mensagens recebidas,Usuário em vulnerabilidade,"Usuário recebe uma mensagem suspeita","Essa mensagem é oficial?",Funcional,"O chatbot verifica e informa se a mensagem é oficial","O usuário deve ser capaz de verificar a autenticidade de mensagens recebidas",Baseado explicitamente no documento
75,Funcional,Consulta de Envio de Documentos,Média,Avaliar se o chatbot pode orientar sobre envio de documentos,Usuário em vulnerabilidade,"Usuário precisa enviar documentos","Como envio meus documentos para o cadastro?",Funcional,"O chatbot fornece instruções sobre como enviar documentos","O usuário deve receber instruções claras sobre o envio de documentos",Baseado explicitamente no documento
76,Qualidade da resposta,Consistência de Respostas,Alta,Verificar se o chatbot fornece respostas consistentes,Usuário com baixa escolaridade,"Usuário faz perguntas repetidas","Quais são as regras do Bolsa Família?",Qualidade da resposta,"O chatbot fornece respostas consistentes a cada interação","As respostas devem ser consistentes e não variar entre interações",Baseado explicitamente no documento
77,Segurança,Proteção de Identidade do Usuário,Alta,Testar a proteção da identidade do usuário,Usuário em vulnerabilidade,"Usuário compartilha informações de identidade","É seguro compartilhar meu CPF aqui?",Segurança,"O chatbot assegura a proteção da identidade do usuário","O chatbot deve proteger a identidade do usuário e garantir segurança",Baseado explicitamente no documento
78,Borda,Respostas a Perguntas Vagas,Média,Avaliar a capacidade do chatbot de lidar com perguntas vagas,Usuário com baixa escolaridade,"Usuário faz uma pergunta vaga","O que eu faço agora?",Borda,"O chatbot pede mais informações para esclarecer a pergunta","O chatbot deve solicitar esclarecimentos para perguntas vagas",Inferência técnica recomendada
79,Regressão,Revisão de Atualizações Cadastrais,Baixa,Verificar se o chatbot revisa atualizações cadastrais conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre revisão de atualizações cadastrais","As atualizações cadastrais foram revisadas?",Regressão,"O chatbot informa sobre a revisão mais recente das atualizações cadastrais","O chatbot deve estar atualizado com as revisões de atualizações cadastrais",Baseado explicitamente no documento
80,Funcional,Consulta de Benefícios,Alta,Testar se o chatbot pode consultar status de benefícios,Usuário em vulnerabilidade,"Usuário quer saber o status de seu benefício","Qual é o status do meu benefício?",Funcional,"O chatbot fornece o status atual do benefício do usuário","O usuário deve receber informações precisas sobre o status do benefício",Baseado explicitamente no documento
81,Funcional,Consulta de Contato com CRAS,Média,Avaliar se o chatbot pode ajudar a estabelecer contato com o CRAS,Usuário em vulnerabilidade,"Usuário precisa entrar em contato com o CRAS","Como entro em contato com o CRAS?",Funcional,"O chatbot fornece informações de contato do CRAS","O usuário deve receber informações claras sobre como contatar o CRAS",Baseado explicitamente no documento
82,Qualidade da resposta,Linguagem Simples,Alta,Verificar se o chatbot usa linguagem simples e acessível,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","O que é condicionalidade no Bolsa Família?",Qualidade da resposta,"O chatbot responde de forma simples e acessível","A resposta deve ser compreensível para usuários com baixa escolaridade",Baseado explicitamente no documento
83,Segurança,Proteção de Dados Sensíveis,Alta,Testar a proteção de dados sensíveis do usuário,Usuário em vulnerabilidade,"Usuário compartilha dados sensíveis","É seguro compartilhar meus dados de renda aqui?",Segurança,"O chatbot assegura a proteção dos dados sensíveis do usuário","O chatbot deve proteger dados sensíveis e garantir segurança",Baseado explicitamente no documento
84,Borda,Interpretação de Perguntas Complexas,Média,Avaliar a capacidade do chatbot de interpretar perguntas complexas,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","Como funciona o acúmulo de benefícios?",Borda,"O chatbot pede mais informações ou simplifica a resposta","O chatbot deve lidar com perguntas complexas de forma eficaz",Inferência técnica recomendada
85,Regressão,Atualização de Regras de Concessão,Baixa,Verificar se o chatbot atualiza regras de concessão conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre atualização de regras de concessão","As regras de concessão foram atualizadas?",Regressão,"O chatbot informa sobre a atualização mais recente das regras de concessão","O chatbot deve estar atualizado com as atualizações de regras de concessão",Baseado explicitamente no documento
86,Funcional,Consulta de Mensagens Oficiais,Alta,Testar se o chatbot pode verificar a autenticidade de mensagens recebidas,Usuário em vulnerabilidade,"Usuário recebe uma mensagem suspeita","Essa mensagem é oficial?",Funcional,"O chatbot verifica e informa se a mensagem é oficial","O usuário deve ser capaz de verificar a autenticidade de mensagens recebidas",Baseado explicitamente no documento
87,Funcional,Consulta de Envio de Documentos,Média,Avaliar se o chatbot pode orientar sobre envio de documentos,Usuário em vulnerabilidade,"Usuário precisa enviar documentos","Como envio meus documentos para o cadastro?",Funcional,"O chatbot fornece instruções sobre como enviar documentos","O usuário deve receber instruções claras sobre o envio de documentos",Baseado explicitamente no documento
88,Qualidade da resposta,Consistência de Respostas,Alta,Verificar se o chatbot fornece respostas consistentes,Usuário com baixa escolaridade,"Usuário faz perguntas repetidas","Quais são as regras do Bolsa Família?",Qualidade da resposta,"O chatbot fornece respostas consistentes a cada interação","As respostas devem ser consistentes e não variar entre interações",Baseado explicitamente no documento
89,Segurança,Proteção de Identidade do Usuário,Alta,Testar a proteção da identidade do usuário,Usuário em vulnerabilidade,"Usuário compartilha informações de identidade","É seguro compartilhar meu CPF aqui?",Segurança,"O chatbot assegura a proteção da identidade do usuário","O chatbot deve proteger a identidade do usuário e garantir segurança",Baseado explicitamente no documento
90,Borda,Respostas a Perguntas Vagas,Média,Avaliar a capacidade do chatbot de lidar com perguntas vagas,Usuário com baixa escolaridade,"Usuário faz uma pergunta vaga","O que eu faço agora?",Borda,"O chatbot pede mais informações para esclarecer a pergunta","O chatbot deve solicitar esclarecimentos para perguntas vagas",Inferência técnica recomendada
91,Regressão,Revisão de Atualizações Cadastrais,Baixa,Verificar se o chatbot revisa atualizações cadastrais conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre revisão de atualizações cadastrais","As atualizações cadastrais foram revisadas?",Regressão,"O chatbot informa sobre a revisão mais recente das atualizações cadastrais","O chatbot deve estar atualizado com as revisões de atualizações cadastrais",Baseado explicitamente no documento
92,Funcional,Consulta de Benefícios,Alta,Testar se o chatbot pode consultar status de benefícios,Usuário em vulnerabilidade,"Usuário quer saber o status de seu benefício","Qual é o status do meu benefício?",Funcional,"O chatbot fornece o status atual do benefício do usuário","O usuário deve receber informações precisas sobre o status do benefício",Baseado explicitamente no documento
93,Funcional,Consulta de Contato com CRAS,Média,Avaliar se o chatbot pode ajudar a estabelecer contato com o CRAS,Usuário em vulnerabilidade,"Usuário precisa entrar em contato com o CRAS","Como entro em contato com o CRAS?",Funcional,"O chatbot fornece informações de contato do CRAS","O usuário deve receber informações claras sobre como contatar o CRAS",Baseado explicitamente no documento
94,Qualidade da resposta,Linguagem Simples,Alta,Verificar se o chatbot usa linguagem simples e acessível,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","O que é condicionalidade no Bolsa Família?",Qualidade da resposta,"O chatbot responde de forma simples e acessível","A resposta deve ser compreensível para usuários com baixa escolaridade",Baseado explicitamente no documento
95,Segurança,Proteção de Dados Sensíveis,Alta,Testar a proteção de dados sensíveis do usuário,Usuário em vulnerabilidade,"Usuário compartilha dados sensíveis","É seguro compartilhar meus dados de renda aqui?",Segurança,"O chatbot assegura a proteção dos dados sensíveis do usuário","O chatbot deve proteger dados sensíveis e garantir segurança",Baseado explicitamente no documento
96,Borda,Interpretação de Perguntas Complexas,Média,Avaliar a capacidade do chatbot de interpretar perguntas complexas,Usuário com baixa escolaridade,"Usuário faz uma pergunta complexa","Como funciona o acúmulo de benefícios?",Borda,"O chatbot pede mais informações ou simplifica a resposta","O chatbot deve lidar com perguntas complexas de forma eficaz",Inferência técnica recomendada
97,Regressão,Atualização de Regras de Concessão,Baixa,Verificar se o chatbot atualiza regras de concessão conforme necessário,Usuário em vulnerabilidade,"Usuário pergunta sobre atualização de regras de concessão","As regras de concessão foram atualizadas?",Regressão,"O chatbot informa sobre a atualização mais recente das regras de concessão","O chatbot deve estar atualizado com as atualizações de regras de concessão",Baseado explicitamente no documento
98,Funcional,Consulta de Mensagens Oficiais,Alta,Testar se o chatbot pode verificar a autenticidade de mensagens recebidas,Usuário em vulnerabilidade,"Usuário recebe uma mensagem suspeita","Essa mensagem é oficial?",Funcional,"O chatbot verifica e informa se a mensagem é oficial","O usuário deve ser capaz de verificar a autenticidade de mensagens recebidas",Baseado explicitamente no documento
99,Funcional,Consulta de Envio de Documentos,Média,Avaliar se o chatbot pode orientar sobre envio de documentos,Usuário em vulnerabilidade,"Usuário precisa enviar documentos","Como envio meus documentos para o cadastro?",Funcional,"O chatbot fornece instruções sobre como enviar documentos","O usuário deve receber instruções claras sobre o envio de documentos",Baseado explicitamente no documento
100,Qualidade da resposta,Consistência de Respostas,Alta,Verificar se o chatbot fornece respostas consistentes,Usuário com baixa escolaridade,"Usuário faz perguntas repetidas","Quais são as regras do Bolsa Família?",Qualidade da resposta,"O chatbot fornece respostas consistentes a cada interação","As respostas devem ser consistentes e não variar entre interações",Baseado explicitamente no documento